EnergyConsumption,OutdoorTemp
3.96,9.96
2.99,11.83
2.54,13.42
1.55,13.71
1.78,11.54
3.57,10.21
3.18,12.75
1.29,16.04
0.98,15.04
1.56,15.13
0.98,17.46
0.85,17.63
0.71,20.83
3.18,20.42
1.29,22.38
0.98,22.75
1.56,21.79
0.98,18.38
0.85,14.17
0.78,15.17
1.30,18.04
1.11,20.38
0.51,19.42
0.52,19.38
1.24,16.29
0.85,16.38
0.78,15.50
1.40,16.13
2.08,15.04
3.28,12.46
3.27,13.13
1.95,16.25
2.11,14.54
3.09,13.79
1.87,16.46
1.68,17.96
1.50,19.17
1.66,18.25
0.49,19.21
0.39,20.88
0.24,22.33
0.13,23.58
0.12,24.50
0.12,24.71
0.12,25.25
0.12,23.88
0.12,25.21
0.12,21.83
0.12,17.96
0.25,17.46
0.36,20.67
0.25,21.79
0.12,19.96
0.13,21.17
0.24,21.50
0.12,23.50
0.13,24.33
0.12,23.04
0.13,23.50
0.13,22.54
0.12,24.08
0.13,24.92
0.12,21.29
0.12,22.00
0.13,21.08
0.30,16.92
0.48,18.00
0.13,18.75
0.64,16.29
1.34,15.29
0.92,16.88
0.72,17.46
0.41,18.83
0.37,20.96
0.27,21.63
0.26,20.75
0.12,23.92
0.13,24.96
0.13,24.88
0.12,23.50
0.13,21.46
0.13,21.79
0.12,23.21
0.12,24.04
0.12,22.21
0.13,18.13
0.12,15.21
0.23,14.88
0.41,15.63
1.10,14.75
1.78,15.04
0.86,16.38
1.16,17.71
0.90,19.04
0.60,18.96
1.72,16.04
1.68,17.50
1.38,20.71
0.47,22.25
0.83,22.21
0.41,23.21
0.45,22.08
0.75,15.92
0.56,14.58
1.21,15.21
1.99,13.21
1.97,15.04
2.66,15.71
3.04,12.21
2.53,13.42
1.86,13.58
2.41,12.79
2.64,13.46
1.25,16.71
0.41,16.83
1.20,15.42
1.62,14.04
2.27,13.58
1.90,13.13
2.68,12.54
3.25,12.25
1.91,11.58
2.26,12.08
1.93,13.79
1.86,11.00
2.41,10.83
2.64,11.79
1.25,13.67
0.41,12.75
1.20,11.29
1.62,11.08
2.27,10.21
1.90,9.79
2.68,11.58
3.25,14.38
1.91,13.29
2.26,13.04
2.43,15.83
2.69,14.08
2.66,11.83
3.90,11.50
4.12,11.00
4.88,10.83
5.60,8.33
6.01,9.08
7.21,6.92
9.38,5.46
7.94,4.38
6.92,5.00
7.81,6.00
6.53,5.79
7.38,6.25
6.43,7.08
6.87,7.63
5.49,10.17
5.94,11.04
6.40,9.91
6.74,10.29
7.14,8.63
8.28,8.83
6.57,9.08
6.24,9.42
6.66,9.08
8.29,8.75
8.34,7.75
11.29,7.75
10.44,10.42
9.76,10.17
7.79,11.54
5.45,12.71
5.11,13.54
5.46,13.58
5.30,12.67
6.82,10.79
9.74,9.08
8.06,9.13
6.33,9.54
7.78,10.54
6.67,12.04
6.33,10.79
4.81,12.42
4.73,11.33
5.32,11.92
8.72,5.92
12.28,1.58
10.14,0.50
10.77,-0.50
11.62,2.42
10.84,2.38
10.84,1.88
11.75,0.58
11.96,3.33
7.92,8.13
7.84,7.96
10.74,7.04
10.97,5.38
11.58,6.50
10.69,5.92
9.88,6.17
11.19,7.00
11.53,5.83
9.82,6.00
12.50,3.33
10.86,4.17
10.13,6.00
10.68,4.79
13.46,4.13
12.03,4.92
11.34,6.54
8.74,8.63
9.85,1.13
11.00,-0.75
11.87,-0.13
11.02,6.25
9.28,8.00
10.02,8.00
12.28,7.67
11.13,7.96
12.78,7.46
12.87,6.79
14.01,1.58
13.88,1.58
11.14,4.75
12.59,3.67
11.36,5.08
11.61,3.63
9.72,4.67
12.43,1.17
11.49,1.71
13.45,4.08
12.20,3.54
11.03,5.25
8.91,5.58
9.69,5.79
10.65,5.42
11.10,5.04
13.10,3.25
12.86,1.29
12.70,1.83
12.90,0.17
17.13,-1.25
15.72,-5.75
17.68,-5.38
13.63,-1.63
13.59,-3.13
15.39,-3.46
14.24,2.88
14.21,1.88
13.12,5.38
13.23,6.13
12.37,6.96
10.68,7.00
10.21,7.04
8.91,5.75
10.57,5.50
8.18,9.42
8.87,7.83
10.93,5.67
11.76,2.42
11.67,5.21
11.51,5.58
11.34,6.63
9.62,5.58
10.50,6.75
12.82,3.42
11.40,2.63
10.39,2.83
10.14,4.04
10.09,5.04
10.03,3.58
10.87,2.42
11.18,1.96
9.63,2.63
11.54,2.83
13.30,1.42
8.86,7.96
6.98,8.54
7.83,7.04
10.79,2.42
11.19,2.21
10.62,0.88
12.13,1.50
11.50,3.42
12.51,2.96
13.12,1.17
11.26,4.29
11.82,2.00
11.91,1.96
11.66,2.42
10.72,1.88
11.10,0.29
12.26,0.17
11.05,0.29
10.78,2.00
9.16,2.71
10.16,3.83
9.01,4.25
10.23,3.79
11.71,2.33
10.16,2.21
9.32,4.13
9.00,5.75
7.29,6.38
8.37,5.25
9.11,5.13
8.90,5.79
9.28,4.83
9.84,5.33
9.20,5.46
7.74,7.00
6.45,7.24
8.71,7.58
6.11,8.58
4.63,9.92
4.71,11.13
4.19,10.46
4.47,9.58
4.01,12.04
3.14,12.75
2.65,11.79
4.82,10.38
6.43,9.46
7.45,6.54
6.68,6.21
5.38,8.38
3.67,10.25
3.38,11.08
3.41,9.00
5.23,7.46
6.09,7.63
6.29,7.88
3.91,7.96
7.63,7.79
7.50,7.88
4.50,8.42
4.05,10.75
3.60,13.25
3.43,11.33
7.19,4.38
7.07,3.21
8.27,6.04
8.25,3.96
6.65,3.67
6.96,6.75
4.68,9.58
6.62,7.25
6.16,8.67
6.57,10.21
5.62,8.46
4.13,10.17
3.52,13.04
2.42,14.21
2.18,14.67
2.14,15.50
1.64,15.25
2.39,15.13
4.35,12.25
6.33,10.46
4.74,11.08
6.31,8.29
6.35,7.79
5.37,8.92
2.99,11.75
3.65,13.46
4.19,12.29
2.35,12.79
1.29,16.46
2.45,11.29
4.69,9.79
3.80,12.29
1.54,14.08
0.59,14.58
0.54,16.83
0.92,16.63
1.91,14.92
1.57,14.08
1.47,14.13
1.25,15.04
1.69,15.13
1.25,15.63
1.68,15.75
1.39,16.92
0.37,18.88
0.55,17.58
1.25,14.92
1.20,13.54
0.94,15.50
1.09,15.29
1.43,14.38
1.77,14.58
2.46,12.75
2.13,15.54
2.71,13.75
1.35,15.21
1.78,13.29
2.03,14.38
0.86,17.17
1.18,19.79
0.45,22.33
0.32,22.71
0.26,21.50
1.03,16.29
1.60,16.13
0.95,18.38
0.61,19.79
0.69,20.00
0.49,20.25
1.07,19.58
1.84,15.50
1.18,18.08
0.66,19.96
0.52,18.04
0.87,18.33
0.68,20.54
0.44,21.42
0.24,22.67
0.13,24.46
0.24,19.33
2.28,15.13
3.55,12.38
4.20,12.63
3.39,14.21
2.81,17.79
1.70,18.42
0.94,18.54
1.06,18.42
0.59,17.79
0.98,17.83
0.83,17.46
1.40,17.13
0.90,17.08
1.05,17.17
1.26,18.13
1.29,19.46
1.63,20.08
1.02,21.88
1.24,20.38
1.73,17.42
1.58,18.13
1.50,20.04
1.01,22.08
1.73,16.00
1.89,15.96
1.75,18.04
1.22,19.63
1.47,17.54
1.96,13.58
1.01,12.79
1.73,15.04
1.89,18.17
1.75,20.33
1.22,20.88
1.15,20.63
1.21,19.58
0.89,18.54
1.55,17.63
1.13,19.96
2.29,16.83
2.56,15.63
1.90,18.29
0.68,20.46
1.05,21.38
0.49,22.83
0.28,23.00
0.17,22.75
0.13,20.88
0.63,18.71
0.67,20.67
0.31,19.83
0.60,19.96
0.52,20.04
0.69,20.00
1.78,16.46
1.86,16.08
1.98,16.79
1.88,18.96
1.50,20.46
0.97,20.08
1.27,20.04
1.41,20.46
1.25,20.54
1.12,20.54
1.25,20.13
1.42,17.13
2.17,14.08
3.75,13.33
4.20,13.79
5.72,12.88
4.55,11.83
4.75,12.38
4.61,14.42
5.23,14.83
3.71,15.38
3.55,15.54
3.37,14.38
3.15,15.04
3.88,16.33
3.18,17.17
3.13,16.04
7.38,13.54
6.30,11.25
4.95,10.67
4.71,9.33
6.39,6.96
6.29,7.79
5.32,8.13
6.57,7.92
7.13,6.17
6.67,6.50
7.77,5.88
7.67,6.79
8.04,10.42
8.16,12.17
7.68,11.71
6.07,12.83
4.09,11.54
5.26,10.50
6.98,8.00
7.99,7.46
8.93,6.88
7.48,7.00
5.25,11.96
5.75,13.13
5.18,11.96
6.03,9.96
7.59,9.00
7.73,8.92
7.22,8.88
7.64,8.33
7.73,8.88
6.10,9.79
8.75,5.38
8.82,5.67
7.87,9.54
8.42,6.42
10.48,3.29
11.30,1.58
11.64,2.75
9.53,5.83
