EnergyConsumption,OutdoorTemp
4.65,9.96
4.58,10.25
4.06,8.50
5.34,8.96
3.31,9.00
4.34,9.46
4.69,9.08
4.70,8.71
4.75,7.71
4.85,7.83
5.56,10.42
5.39,10.21
4.68,11.63
4.97,12.71
3.89,13.58
3.66,13.58
4.25,12.58
4.08,10.71
2.90,9.04
5.38,9.17
4.03,9.50
4.43,10.71
5.23,12.00
3.71,10.83
5.22,12.38
4.15,11.33
3.37,11.88
3.84,5.58
5.42,1.50
6.17,0.50
5.32,-0.50
4.83,2.50
5.40,2.38
4.61,1.79
4.75,0.63
5.01,3.54
5.73,8.17
5.19,8.00
5.48,6.92
4.48,5.46
5.00,6.46
4.38,5.88
5.55,6.25
4.35,6.96
4.72,5.79
4.87,5.96
4.86,3.29
4.61,4.25
4.75,6.00
5.01,4.71
5.73,4.13
5.19,5.04
5.47,6.58
4.48,8.63
5.00,0.71
4.38,-0.67
5.55,-0.08
4.35,6.54
4.72,8.04
4.87,8.00
4.83,7.67
5.00,7.96
4.38,7.42
5.55,6.75
4.35,1.25
4.72,1.88
4.87,4.63
4.83,3.79
5.00,5.00
4.38,3.63
5.55,4.67
4.35,0.96
4.72,1.96
4.87,4.04
4.83,3.58
5.00,5.25
4.38,5.63
5.55,5.75
4.35,5.46
4.72,4.96
4.87,3.21
4.82,1.29
5.00,1.75
4.38,0.13
5.55,-1.38
4.35,-5.92
4.72,-5.13
4.87,-1.71
4.83,-3.04
5.00,-3.42
4.38,3.04
5.55,1.92
4.35,5.42
4.72,6.21
4.87,6.96
4.83,6.96
5.00,7.04
4.38,5.75
5.55,5.50
4.35,9.50
4.72,7.79
4.87,5.46
4.83,2.42
5.00,5.33
4.38,5.63
5.55,6.58
4.35,5.67
4.72,6.71
4.87,3.25
4.83,2.63
5.00,2.88
4.38,4.08
5.55,5.00
4.35,3.54
4.72,2.42
4.87,1.92
4.82,2.71
5.00,2.75
4.38,1.54
5.55,8.13
4.35,8.58
4.72,6.75
4.87,2.46
4.83,2.08
5.00,0.92
4.38,1.58
5.55,3.42
4.56,2.83
5.33,1.25
5.07,4.33
6.18,1.92
5.42,2.08
6.21,2.29
6.07,1.83
5.70,0.29
5.38,0.17
6.98,0.38
7.09,2.08
6.12,2.71
5.79,3.83
5.30,4.25
5.44,3.75
6.20,2.25
5.95,2.33
7.07,4.25
5.72,5.75
6.64,6.38
3.92,5.25
5.21,5.08
4.08,5.79
4.62,4.79
5.02,5.38
4.13,5.42
7.34,7.13
5.37,7.29
7.04,7.67
3.51,8.54
4.16,10.04
5.03,11.17
4.85,10.29
5.01,9.75
4.47,12.13
4.66,12.67
3.60,11.79
3.07,10.29
2.86,9.33
4.54,6.50
4.94,6.25
5.41,8.54
4.43,10.29
4.30,11.08
2.84,8.83
4.07,7.46
2.86,7.63
5.39,7.88
3.64,8.00
4.09,7.75
6.09,7.92
4.24,8.46
4.45,10.92
4.18,13.25
3.08,11.00
3.37,4.29
4.69,3.21
4.37,6.08
5.12,3.92
3.19,3.75
4.87,6.92
4.06,9.63
2.89,7.04
4.42,8.88
3.57,10.04
5.24,8.63
4.00,10.29
5.32,13.13
4.33,14.21
4.21,14.71
4.06,15.50
3.60,15.17
2.97,15.17
2.90,11.96
4.16,10.50
3.70,11.08
4.01,8.25
2.99,7.75
4.46,9.08
4.61,11.88
3.48,13.38
6.26,12.29
5.98,12.88
3.26,16.63
3.55,10.83
3.35,9.92
5.70,12.50
4.27,14.00
3.23,14.71
3.53,16.88
2.89,16.46
3.93,14.96
4.58,14.08
4.09,14.17
3.25,15.04
4.37,15.13
3.23,15.63
3.37,15.75
3.97,17.08
2.95,18.88
2.98,17.42
3.92,14.92
4.73,13.46
3.39,15.58
3.07,15.25
3.13,14.33
3.45,14.58
4.55,12.63
2.91,15.83
4.80,13.63
4.05,15.21
3.14,13.21
4.65,14.58
2.82,17.21
3.90,19.92
3.29,22.42
3.66,22.71
2.43,21.29
2.92,16.21
4.50,16.17
3.39,18.50
3.20,19.83
3.05,19.96
3.65,20.33
3.13,19.25
4.22,15.63
3.90,18.21
2.90,19.92
3.17,18.04
3.71,18.38
2.90,20.63
2.95,21.42
3.26,22.79
1.63,24.33
2.58,19.04
2.84,14.96
3.46,12.42
3.30,12.67
4.90,14.38
4.01,17.92
3.45,18.38
3.23,18.54
3.49,18.38
2.41,17.79
2.38,17.83
1.98,17.42
3.30,17.13
2.87,17.08
2.72,17.21
2.65,18.21
3.23,19.42
3.24,20.17
2.93,21.92
1.87,20.13
1.42,17.50
0.72,18.08
1.95,20.21
1.81,22.08
0.51,15.67
2.33,16.13
2.16,18.17
2.30,19.67
0.72,17.21
0.51,13.54
2.14,12.88
0.80,15.17
2.11,18.29
2.05,20.38
1.72,20.83
2.11,20.63
1.12,19.50
0.66,18.42
1.12,17.79
0.23,19.88
1.60,16.75
1.89,15.67
1.93,18.46
1.98,20.50
2.02,21.46
2.22,22.79
2.07,23.04
2.30,22.71
0.78,20.67
1.24,18.83
2.59,20.67
1.56,19.75
2.06,20.04
1.30,20.04
0.67,19.83
0.74,16.38
1.85,16.21
1.98,16.83
2.03,19.04
1.86,20.42
2.13,20.08
1.87,20.08
2.01,20.46
2.09,20.58
2.08,20.54
0.70,19.96
1.13,16.96
1.35,14.08
0.48,13.29
0.26,13.79
0.54,12.83
1.04,11.83
1.82,12.46
1.35,14.46
1.89,14.88
1.68,15.42
1.44,15.50
1.34,14.29
1.51,15.17
2.37,16.33
2.02,17.13
0.95,16.00
0.39,13.38
1.26,11.25
1.15,10.63
0.72,9.25
0.31,6.92
0.46,7.88
3.52,8.08
4.12,7.88
3.51,6.17
3.68,6.46
3.65,5.92
3.10,6.88
3.03,10.54
5.02,12.13
2.86,11.79
3.21,12.79
5.20,11.46
2.83,10.42
3.87,7.96
2.97,7.42
5.89,6.88
3.00,7.08
5.39,12.17
3.81,13.08
4.26,11.88
6.15,9.92
4.19,8.96
5.02,8.96
4.79,8.88
3.80,8.29
4.03,8.96
4.87,9.63
4.59,5.33
3.42,5.79
2.90,9.58
4.95,6.17
5.37,3.21
5.53,1.63
4.87,2.79
5.43,5.92
5.67,4.92
5.25,2.58
5.69,2.71
5.62,0.63
5.55,2.29
5.16,7.21
5.68,9.46
5.72,9.04
5.46,6.71
5.88,5.96
5.23,9.29
5.58,11.50
5.32,11.17
5.17,9.83
6.13,7.08
5.76,6.33
5.86,6.67
6.25,2.83
6.05,-0.04
5.59,0.96
5.45,4.46
5.91,3.25
5.32,2.33
5.62,-0.08
5.76,0.92
6.03,2.96
6.27,2.04
6.13,3.92
6.01,6.67
5.57,6.13
5.26,6.04
6.31,4.00
5.47,3.50
5.91,5.38
4.87,3.54
5.39,1.46
6.06,2.08
5.70,2.83
5.63,1.96
5.62,1.13
5.34,1.58
6.00,2.75
5.87,4.92
5.50,5.00
4.30,6.42
4.85,7.50
5.10,4.29
4.47,2.83
6.80,1.71
6.17,0.42
6.12,0.71
6.10,2.33
6.84,1.58
6.32,-1.08
6.36,0.63
6.15,-0.88
6.69,-6.71
6.84,-7.71
6.00,-1.29
6.78,-1.54
6.31,-1.63
6.76,0.71
5.38,4.29
6.32,1.96
6.46,-0.17
6.21,-2.21
6.87,-3.63
6.62,-4.42
6.04,-5.33
6.95,-5.71
6.94,-5.21
6.33,-5.29
6.72,-4.58
6.99,-4.00
6.72,-7.75
6.65,-7.67
6.65,-4.50
6.83,-1.29
6.28,0.96
5.89,2.42
4.90,2.54
6.02,4.58
6.00,4.54
5.26,4.79
6.08,4.79
5.43,4.33
5.69,4.00
5.89,2.92
5.28,3.33
5.25,2.83
6.64,0.04
5.10,0.21
4.49,2.38
6.40,3.04
5.72,1.79
6.53,3.08
5.74,4.75
6.05,5.75
4.13,5.38
5.84,4.29
4.95,3.25
5.20,4.83
5.51,6.50
4.56,7.67
5.50,7.92
4.46,6.13
5.65,2.96
3.75,5.25
4.54,6.71
2.92,4.88
5.80,4.33
7.22,6.33
4.55,5.13
3.63,7.71
4.79,5.88
4.94,4.88
5.57,3.88
5.46,3.92
5.50,7.04
6.80,7.29
3.73,5.71
4.87,6.92
4.27,5.79
4.52,7.00
4.39,7.58
4.75,8.46
4.28,9.83
2.82,8.42
3.41,9.83
5.19,10.17
3.66,9.50
2.86,6.46
6.37,8.46
2.93,9.08
4.72,8.75
4.27,7.92
5.16,8.38
4.60,10.25
4.73,11.00
4.49,11.71
4.39,12.46
3.60,12.13
3.96,11.04
3.72,11.25
3.21,10.13
4.11,9.00
3.64,8.33
4.68,7.92
4.76,10.63
5.00,12.83
4.72,14.13
4.17,10.58
4.77,10.58
3.93,12.79
3.28,10.38
2.75,10.71
2.86,8.08
3.03,6.83
5.68,3.21
5.55,2.04
4.30,1.13
5.14,4.00
3.55,8.25
4.01,6.21
4.95,8.00
2.77,10.50
4.51,4.33
3.56,3.50
4.13,3.54
4.95,5.58
4.74,8.63
2.95,7.58
4.22,8.08
3.88,8.96
3.23,9.21
5.04,10.04
3.05,11.58
2.89,10.54
2.87,9.63
5.16,7.96
5.10,10.21
3.06,13.63
4.45,14.00
4.35,14.17
3.57,14.33
4.37,14.00
4.30,15.42
4.22,17.38
2.91,17.92
3.01,14.29
4.47,10.38
3.75,12.75
4.69,15.54
3.85,17.21
4.19,16.79
3.94,16.08
3.72,16.71
3.60,18.92
3.00,20.50
3.56,21.29
3.10,21.04
2.80,19.58
3.44,18.92
3.08,19.25
3.03,19.79
3.77,17.33
2.78,14.54
2.81,13.63
4.15,12.67
4.53,14.75
2.30,17.71
3.67,17.63
3.43,20.00
2.68,21.83
3.35,19.29
3.49,19.54
3.09,21.00
2.55,20.46
3.74,17.04
3.46,17.83
3.37,20.29
2.72,22.71
2.40,22.83
2.90,23.25
1.56,23.75
2.62,21.71
2.81,20.04
3.13,21.21
2.39,21.50
3.03,18.88
3.24,16.75
3.86,16.13
3.54,15.79
2.84,14.29
4.23,16.71
3.18,19.08
3.19,21.13
3.36,22.63
2.92,23.42
2.80,22.96
2.30,22.21
2.52,20.88
2.10,19.21
2.87,19.75
3.89,17.83
3.39,17.63
4.57,15.96
4.54,17.50
3.43,19.88
2.99,21.75
2.94,22.50
3.21,21.29
2.82,20.38
3.23,20.92
3.13,19.25
2.82,16.38
3.23,14.00
2.85,14.33
3.77,15.21
3.95,18.17
3.21,19.46
2.96,22.54
2.30,22.38
3.30,24.08
3.55,22.71
2.80,24.42
1.09,23.21
3.44,21.79
2.70,18.21
4.07,17.54
2.87,19.54
3.46,16.75
2.79,14.71
2.80,11.29
3.41,13.79
4.95,16.83
3.93,19.04
3.57,21.71
3.30,20.67
3.43,21.13
3.25,22.17
3.47,17.58
4.11,15.58
3.99,15.42
4.21,16.71
3.83,18.92
3.40,21.33
3.53,20.96
3.43,22.71
2.78,21.96
2.96,21.08
3.45,21.13
2.91,22.38
2.43,19.13
2.86,13.67
3.21,11.92
4.21,11.58
3.81,13.33
4.25,16.50
3.81,18.38
3.40,14.46
3.82,13.96
2.80,13.71
3.88,11.58
2.88,12.83
3.90,12.58
2.81,13.04
3.03,15.08
4.80,11.21
3.44,11.38
4.24,10.71
4.00,10.50
3.94,9.58
3.66,9.92
4.68,10.75
4.76,13.08
4.35,13.79
3.80,13.75
4.42,13.00
4.65,13.67
4.34,14.00
3.69,15.33
3.45,15.50
4.40,15.88
3.76,12.38
3.90,12.63
4.29,14.46
3.73,11.38
4.88,13.58
3.52,10.54
3.92,9.00
3.37,9.88
4.00,10.13
3.96,10.71
4.81,12.75
3.24,14.13
5.10,13.75
4.41,13.79
3.80,14.71
4.26,15.58
4.50,15.04
4.53,13.71
4.45,13.54
3.90,14.54
3.13,15.13
3.45,10.88
3.73,7.83
5.42,10.42
4.49,12.17
4.41,13.63
4.37,12.38
4.01,8.04
3.94,9.46
4.73,5.50
5.93,4.67
4.21,6.58
3.84,10.00
5.56,11.54
4.80,10.75
3.34,9.54
3.86,5.13
4.35,5.42
4.22,4.92
4.41,5.13
4.63,5.38
4.32,7.42
4.06,9.29
4.65,3.13
5.89,1.96
5.23,0.54
4.79,-0.46
5.27,1.42
5.78,2.96
4.93,3.46
5.30,2.88
4.53,6.71
6.49,8.17
4.91,7.83
5.13,9.54
3.88,8.04
5.51,2.63
5.94,2.33
4.98,4.42
4.76,2.92
5.40,1.00
5.37,0.50
5.40,-0.88
5.57,-2.25
5.26,0.54
5.23,2.17
5.19,0.21
5.95,1.17
5.89,3.96
5.73,-0.54
5.62,-0.83
6.11,4.83
6.26,3.54
6.17,0.67
6.21,5.04
5.99,3.54
5.73,1.42
6.27,0.88
5.84,-0.38
6.52,0.63
6.60,1.29
6.27,2.08
6.07,4.04
5.89,4.58
5.62,3.00
5.75,2.67
6.20,4.29
5.74,2.88
5.90,1.88
6.35,-0.29
6.45,4.29
6.21,8.88
6.10,6.42
5.32,4.83
5.33,6.46
5.59,6.58
5.53,9.42
5.14,7.63
5.45,6.00
5.98,6.08
5.58,6.42
5.36,5.75
6.28,4.38
5.06,2.92
5.83,2.08
5.94,0.33
5.90,1.17
6.27,5.83
6.53,4.00
6.02,4.25
5.85,5.71
5.62,3.04
6.00,3.33
5.96,4.75
5.58,5.96
6.58,5.88
5.50,7.46
5.71,7.38
5.15,5.83
5.47,5.54
6.95,6.46
5.45,6.58
5.84,5.92
5.20,4.92
6.51,1.92
5.71,0.83
